ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
1,fixed,,new_injury_severity2,-0.000319,0.000323,-0.98848502,902.8206995,0.323180007,3rd Ventricle,0.014643912,0.002596774,-34357.67933,0.502305138
2,fixed,,new_injury_severity2,0.001619841,0.003786872,0.427751698,749.3910251,0.668954798,4th Ventricle,0.045356415,0.027900666,-21837.56539,0.798129853
3,fixed,,new_injury_severity2,0.001429241,0.001035945,1.379649473,905.954232,0.168035014,Right Accumbens Area,0.061976046,0.007965817,-25627.5313,0.313280372
4,fixed,,new_injury_severity2,0.000634,0.001054385,0.600835754,897.6011668,0.548101071,Left Accumbens Area,0.06049955,0.008199257,-25695.06106,0.710454237
5,fixed,,new_injury_severity2,0.000974,0.001549247,0.628781374,1192.017677,0.529612663,Right Amygdala,0.051597525,0.013491406,-20743.11645,0.694705341
6,fixed,,new_injury_severity2,0.001417225,0.001396721,1.014680583,1128.545468,0.310475598,Left Amygdala,0.046765758,0.011858877,-21787.35036,0.4875215
7,fixed,,new_injury_severity2,-0.327664065,0.212969243,-1.53855111,699.4982789,0.124366131,Brain Stem,0.476585289,1.562051812,6077.047834,0.249352541
8,fixed,,new_injury_severity2,-0.002074486,0.006908288,-0.300289384,852.5682289,0.764029635,Right Caudate,0.180191945,0.05334512,-13451.13892,0.862514668
9,fixed,,new_injury_severity2,0.006634176,0.006754426,0.982196836,861.9325092,0.326278496,Left Caudate,0.203089997,0.052250025,-13344.52489,0.503836886
10,fixed,,new_injury_severity2,-0.178465587,0.27932772,-0.638911122,833.1569502,0.523056353,Right Cerebellum Exterior,0.244870782,2.118837817,12157.70943,0.689405423
11,fixed,,new_injury_severity2,-0.345038198,0.27497117,-1.254815905,827.5210456,0.209899866,Left Cerebellum Exterior,0.245123198,2.090225278,11868.3156,0.369276788
12,fixed,,new_injury_severity2,-0.158272309,0.132113587,-1.19800175,721.2879391,0.231309842,Right Cerebellum White Matter,0.402735972,0.976519701,2828.848044,0.396108866
13,fixed,,new_injury_severity2,-0.110486302,0.134201755,-0.823285078,728.1018294,0.410615465,Left Cerebellum White Matter,0.393828768,0.993142734,3160.063521,0.590053322
14,fixed,,new_injury_severity2,-1.954038528,1.777978461,-1.09902261,572.6240926,0.272220059,Right Cerebral White Matter,0.680689652,12.79781651,18778.0634,0.441259934
15,fixed,,new_injury_severity2,-1.711041387,1.825479464,-0.937310674,560.1712718,0.349002704,Left Cerebral White Matter,0.663400177,13.14023603,18656.84609,0.528902708
16,fixed,,new_injury_severity2,-0.002087925,0.002387117,-0.874663976,752.0774763,0.382035993,CSF,0.123668886,0.016998202,-24559.95546,0.561940464
17,fixed,,new_injury_severity2,0.012092042,0.007400371,1.633977768,909.002189,0.102609782,Right Hippocampus,0.200379434,0.058095071,-11959.07562,0.21400328
18,fixed,,new_injury_severity2,0.00636586,0.007053911,0.90245825,852.4219958,0.367068422,Left Hippocampus,0.197074019,0.054394169,-13189.21347,0.547030604
19,fixed,,new_injury_severity2,0.000268,0.000188,1.426336136,1415.957739,0.153991777,Right Inf Lat Vent,0.017849748,0.001568723,-35176.56789,0.294784258
20,fixed,,new_injury_severity2,0.000185,0.000137,1.347477468,909.9578547,0.178161912,Left Inf Lat Vent,0.042860069,0.001113232,-40167.76828,0.328914299
21,fixed,,new_injury_severity2,0.000108,0.008457989,0.01282691,741.0727559,0.98976934,Right Lateral Ventricle,0.131192303,0.062096832,-17397.90084,0.994027392
22,fixed,,new_injury_severity2,0.000822,0.012860908,0.063920946,738.5388037,0.94905047,Left Lateral Ventricle,0.14686656,0.094356031,-14893.94965,0.970784451
23,fixed,,new_injury_severity2,-0.013327925,0.019226032,-0.693222873,780.5937276,0.4883759,Right Pallidum,0.336837785,0.142907884,-8330.944485,0.662727807
24,fixed,,new_injury_severity2,-0.017739806,0.019350897,-0.916743361,783.5270012,0.359559215,Left Pallidum,0.333696457,0.143826332,-8047.553507,0.540267247
25,fixed,,new_injury_severity2,-0.004975746,0.019064622,-0.260993674,802.6794747,0.794164332,Right Putamen,0.168223783,0.14308306,-7557.66249,0.882526776
26,fixed,,new_injury_severity2,0.002714032,0.018769011,0.144601776,807.3829128,0.885061382,Left Putamen,0.166476662,0.14040344,-7499.952797,0.934176141
27,fixed,,new_injury_severity2,-0.112949321,0.048774674,-2.31573709,858.2714575,0.020807518,Right Thalamus Proper,0.367195072,0.376774064,428.7188732,0.056422409
28,fixed,,new_injury_severity2,-0.119815476,0.050397423,-2.377412731,854.2397596,0.017653817,Left Thalamus Proper,0.390327764,0.388397392,596.9936129,0.049028216
