ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
28,fixed,,new_injury_severity2,-0.119815476,0.050397423,-2.377412731,854.2397596,0.017653817,Left Thalamus Proper,0.390327764,0.388397392,596.9936129,0.049028216
30,fixed,,new_injury_severity2,-0.097220365,0.039166316,-2.4822443,785.4253729,0.013263721,Left Ventral DC,0.561450419,0.292595775,-2745.934886,0.038428942
31,fixed,,new_injury_severity2,-0.010575631,0.003114741,-3.395348339,801.2179319,0.000719,Optic Chiasm,0.052863502,0.023574204,-20316.63743,0.002646185
41,fixed,,new_injury_severity2,-0.020388346,0.007764101,-2.625976415,785.6156967,0.008808248,Right AOrG anterior orbital gyrus,0.359522962,0.057620182,-14034.44158,0.026742456
67,fixed,,new_injury_severity2,-0.02057802,0.008216017,-2.504622301,798.9692588,0.012456354,Right LOrG lateral orbital gyrus,0.360295814,0.061192653,-13197.72719,0.036376191
70,fixed,,new_injury_severity2,-0.028635226,0.011765596,-2.433810044,749.9192132,0.015173329,Left MCgG middle cingulate gyrus,0.381734682,0.086774252,-12972.01174,0.042879989
88,fixed,,new_injury_severity2,-0.092882427,0.030852901,-3.010492553,784.8496965,0.002691826,Left OCP occipital pole,0.314441984,0.229145195,-4689.098506,0.009093394
105,fixed,,new_injury_severity2,-0.180159933,0.057791675,-3.117402894,759.5206104,0.001893305,Right PoG postcentral gyrus,0.488834254,0.426174329,-810.3440168,0.00656128
106,fixed,,new_injury_severity2,-0.16536274,0.057083117,-2.896876488,765.9995174,0.003876417,Left PoG postcentral gyrus,0.521735221,0.420520128,-750.0165281,0.012746991
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
