ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
7,fixed,,new_injury_severity1,-0.219793941,0.064727681,-3.395671488,815.7653579,0.000717698,Brain Stem,0.049459622,0.559458701,3646.808569,0.001687219
11,fixed,,new_injury_severity1,1.359559032,0.528046511,2.574695607,736.3882176,0.010227007,Left Cerebellum Exterior,0.220071076,4.231376505,13301.66732,0.020454013
14,fixed,,new_injury_severity1,1.168942859,0.407474781,2.868748974,729.1156305,0.004240109,Right Cerebral White Matter,0.217078441,3.27873572,10559.75787,0.009042567
17,fixed,,new_injury_severity1,0.123951532,0.053469124,2.318188937,705.6490769,0.020724051,Right Hippocampus,0.301863502,0.423395654,-4649.236681,0.03865925
19,fixed,,new_injury_severity1,0.005631286,0.002073096,2.716365528,730.9751149,0.006756325,Right Inf Lat Vent,0.151745569,0.016751309,-24075.99803,0.013892801
20,fixed,,new_injury_severity1,0.002930175,0.001128363,2.596836393,727.1778381,0.009598818,Left Inf Lat Vent,0.232224659,0.009177344,-28098.34126,0.019269538
21,fixed,,new_injury_severity1,0.045044992,0.019038926,2.365941874,729.1667612,0.018244859,Right Lateral Ventricle,0.074276413,0.150671566,-11317.5087,0.034514981
27,fixed,,new_injury_severity1,0.266999288,0.094406174,2.828197303,780.6490547,0.004801016,Right Thalamus Proper,0.127759426,0.804607769,5563.554482,0.010171322
28,fixed,,new_injury_severity1,0.200073471,0.089585786,2.233317145,787.3056863,0.025808279,Left Thalamus Proper,0.132271244,0.765652351,5479.278656,0.04689233
37,fixed,,new_injury_severity1,0.155392113,0.057637765,2.696012103,728.2990599,0.007179547,Right ACgG anterior cingulate gyrus,0.126788006,0.459565269,-5060.674988,0.014669264
43,fixed,,new_injury_severity1,0.493528157,0.122778539,4.019661414,727.0331679,6.44E-05,Right AnG angular gyrus,0.20728221,0.978744536,3099.874656,0.000165855
44,fixed,,new_injury_severity1,0.373513737,0.115743412,3.227084223,724.6879004,0.001306846,Left AnG angular gyrus,0.166293889,0.921588734,1956.271539,0.002989201
45,fixed,,new_injury_severity1,0.184563713,0.04073597,4.530730773,749.3149094,6.84E-06,Right Calc calcarine cortex,0.158702771,0.336972844,-3150.90649,1.91E-05
46,fixed,,new_injury_severity1,0.176956812,0.040496429,4.369689279,747.8386441,1.42E-05,Left Calc calcarine cortex,0.15946938,0.328717365,-3212.236445,3.85E-05
47,fixed,,new_injury_severity1,0.136231551,0.048442254,2.812246324,734.0105134,0.005051038,Right CO central operculum,0.182811204,0.390384351,-4223.568424,0.01063098
49,fixed,,new_injury_severity1,0.208898048,0.06198843,3.369952239,737.798923,0.000790913,Right Cun cuneus,0.188620743,0.496917915,-1643.920006,0.001853919
50,fixed,,new_injury_severity1,0.141408213,0.062675849,2.25618344,737.9739935,0.024351051,Left Cun cuneus,0.179699659,0.500523957,-1576.369305,0.044546633
51,fixed,,new_injury_severity1,0.116581218,0.042071206,2.771045341,716.1552845,0.005732603,Right Ent entorhinal area,0.336968102,0.33300588,-4144.375176,0.011971462
52,fixed,,new_injury_severity1,0.134239384,0.040352647,3.326656242,713.4768554,0.000923986,Left Ent entorhinal area,0.323597026,0.320105647,-4358.382716,0.00215955
55,fixed,,new_injury_severity1,0.110582677,0.047961418,2.305659065,739.4433056,0.021405563,Right FRP frontal pole,0.147572074,0.388892055,-3363.777408,0.039838132
56,fixed,,new_injury_severity1,0.151537388,0.04406314,3.439096465,740.8810923,0.000616307,Left FRP frontal pole,0.162470811,0.35452588,-3714.939391,0.001463844
57,fixed,,new_injury_severity1,0.302421771,0.095903156,3.153407898,720.8466707,0.001680706,Right FuG fusiform gyrus,0.322285008,0.758105309,135.7383774,0.003769282
61,fixed,,new_injury_severity1,0.218152503,0.079025258,2.760541487,731.173341,0.005915145,Right IOG inferior occipital gyrus,0.250004572,0.630650324,-622.4971191,0.012304726
62,fixed,,new_injury_severity1,0.208607077,0.077224115,2.701320397,729.387019,0.007066845,Left IOG inferior occipital gyrus,0.239687425,0.612119217,-1017.149911,0.014475778
63,fixed,,new_injury_severity1,0.466584378,0.155927678,2.992312743,721.0118824,0.002863238,Right ITG inferior temporal gyrus,0.306672223,1.227106461,3551.759613,0.006204968
64,fixed,,new_injury_severity1,0.347968286,0.154524817,2.251860207,719.5108186,0.024631897,Left ITG inferior temporal gyrus,0.308718555,1.20484113,3211.992565,0.044958105
65,fixed,,new_injury_severity1,0.332507834,0.093412139,3.559578428,740.4032507,0.000395162,Right LiG lingual gyrus,0.279568181,0.753132029,1738.189365,0.000952653
66,fixed,,new_injury_severity1,0.251585452,0.089402119,2.814088229,736.7844846,0.005022002,Left LiG lingual gyrus,0.242524289,0.707973739,901.5103942,0.010583722
68,fixed,,new_injury_severity1,0.068928135,0.027148473,2.538932299,734.5157771,0.011324376,Left LOrG lateral orbital gyrus,0.177403637,0.2160995,-8021.325173,0.022453263
73,fixed,,new_injury_severity1,0.875144652,0.214095432,4.08763814,732.5774065,4.84E-05,Right MFG middle frontal gyrus,0.201743787,1.726882506,6664.006147,0.000126544
74,fixed,,new_injury_severity1,0.696131605,0.212004578,3.283568737,734.0552286,0.001073599,Left MFG middle frontal gyrus,0.229599531,1.707126335,7061.115588,0.002483953
75,fixed,,new_injury_severity1,0.238616476,0.067730609,3.523022735,729.4939714,0.000453234,Right MOG middle occipital gyrus,0.166323146,0.536575998,-1950.275437,0.001087762
76,fixed,,new_injury_severity1,0.186275218,0.07785152,2.392698546,726.802043,0.016977899,Left MOG middle occipital gyrus,0.167471685,0.613349278,-1160.938184,0.032461904
81,fixed,,new_injury_severity1,0.160640891,0.040646215,3.952173408,740.371172,8.49E-05,Right MPrG precentral gyrus medial segment,0.1681445,0.327960192,-4416.137951,0.000217983
82,fixed,,new_injury_severity1,0.120767439,0.039076582,3.090532284,741.1728616,0.002072742,Left MPrG precentral gyrus medial segment,0.169940651,0.317637895,-4551.368415,0.004635562
84,fixed,,new_injury_severity1,0.157341954,0.069451365,2.26549837,734.3384638,0.023772549,Left MSFG superior frontal gyrus medial segment,0.221981881,0.547754993,-1333.806869,0.043637282
85,fixed,,new_injury_severity1,0.694220321,0.179975182,3.857311396,718.9793976,0.00012493,Right MTG middle temporal gyrus,0.26272419,1.426904683,4653.602565,0.000317861
86,fixed,,new_injury_severity1,0.493688237,0.171317399,2.881716856,716.8365945,0.004073387,Left MTG middle temporal gyrus,0.244233957,1.34348938,4124.143328,0.008721713
87,fixed,,new_injury_severity1,0.200973125,0.04732499,4.246659601,751.0124539,2.44E-05,Right OCP occipital pole,0.182838676,0.386328961,-1842.370151,6.51E-05
88,fixed,,new_injury_severity1,0.121381484,0.053323278,2.276331996,749.1477371,0.023107496,Left OCP occipital pole,0.18787936,0.435949354,-1241.23065,0.042659993
89,fixed,,new_injury_severity1,0.132936874,0.044166478,3.009904317,737.665502,0.002702384,Right OFuG occipital fusiform gyrus,0.289783038,0.356265994,-3434.561396,0.005888122
90,fixed,,new_injury_severity1,0.118837017,0.048579389,2.446243535,732.6029584,0.014669474,Left OFuG occipital fusiform gyrus,0.262316866,0.386275631,-3235.085693,0.028454179
91,fixed,,new_injury_severity1,0.11221537,0.042175571,2.660672197,740.4895754,0.007967345,Right OpIFG opercular part of the inferior frontal gyrus,0.118363762,0.346065898,-3931.300416,0.016155725
94,fixed,,new_injury_severity1,0.050277013,0.021717107,2.315087976,732.2717404,0.020883713,Left OrIFG orbital part of the inferior frontal gyrus,0.133335552,0.175034355,-10246.22355,0.038911947
95,fixed,,new_injury_severity1,0.158366714,0.043147845,3.67032726,729.0491697,0.000259913,Right PCgG posterior cingulate gyrus,0.263568725,0.342305563,-4922.505378,0.000641922
96,fixed,,new_injury_severity1,0.179341106,0.047923799,3.742213857,729.3737219,0.000196744,Left PCgG posterior cingulate gyrus,0.263256926,0.382801367,-3907.185129,0.000492013
97,fixed,,new_injury_severity1,0.600845286,0.132843753,4.522947237,732.365316,7.11E-06,Right PCu precuneus,0.242388139,1.055704602,3085.686409,1.98E-05
98,fixed,,new_injury_severity1,0.515052195,0.143500276,3.589207,730.4681982,0.000353845,Left PCu precuneus,0.225819087,1.144497882,3352.605777,0.000856902
99,fixed,,new_injury_severity1,0.136240501,0.045749348,2.977976858,721.2627767,0.002998853,Right PHG parahippocampal gyrus,0.373782663,0.362564323,-3846.661068,0.006490115
100,fixed,,new_injury_severity1,0.149345676,0.04536181,3.29232177,714.0325543,0.001042562,Left PHG parahippocampal gyrus,0.374071715,0.358466752,-3534.683626,0.002415618
105,fixed,,new_injury_severity1,0.528270591,0.125914799,4.195460694,739.1537081,3.05E-05,Right PoG postcentral gyrus,0.126757245,1.023751369,3446.805332,8.08E-05
106,fixed,,new_injury_severity1,0.367205605,0.13391075,2.742166744,741.4183791,0.006250726,Left PoG postcentral gyrus,0.148367571,1.08202433,4381.911902,0.012969249
111,fixed,,new_injury_severity1,0.907201368,0.142394212,6.37105508,749.9694235,3.27E-10,Right PrG precentral gyrus,0.209995237,1.165483476,5906.374399,1.16E-09
112,fixed,,new_injury_severity1,0.954865066,0.147219895,6.485978468,750.1963758,1.60E-10,Left PrG precentral gyrus,0.196340132,1.208588689,6093.862694,5.79E-10
113,fixed,,new_injury_severity1,0.058249196,0.025357271,2.297139734,732.3925265,0.021892029,Right PT planum temporale,0.177402745,0.203183169,-7343.107236,0.040562682
117,fixed,,new_injury_severity1,0.580895945,0.16575081,3.504634118,737.8025093,0.000484835,Right SFG superior frontal gyrus,0.198994164,1.32811794,5453.749411,0.001160142
118,fixed,,new_injury_severity1,0.781923544,0.168705152,4.634852793,738.5920641,4.22E-06,Left SFG superior frontal gyrus,0.210818039,1.348310808,5755.369014,1.19E-05
119,fixed,,new_injury_severity1,0.307855645,0.067948345,4.530730619,736.7802,6.86E-06,Right SMC supplementary motor cortex,0.214695753,0.543882766,-1086.279402,1.91E-05
120,fixed,,new_injury_severity1,0.24962336,0.073448989,3.398594927,736.4304025,0.000713774,Left SMC supplementary motor cortex,0.193182034,0.592828488,-821.5146213,0.001680451
121,fixed,,new_injury_severity1,0.316210193,0.098510562,3.209911558,729.5823918,0.001385908,Right SMG supramarginal gyrus,0.151678899,0.780129664,1510.150881,0.003152109
122,fixed,,new_injury_severity1,0.306027983,0.105185178,2.909421164,732.0825877,0.003730748,Left SMG supramarginal gyrus,0.153489786,0.843871158,2384.634012,0.008030848
123,fixed,,new_injury_severity1,0.152806739,0.050743059,3.011382073,737.5259381,0.002689444,Right SOG superior occipital gyrus,0.164434831,0.408891689,-3007.453334,0.00587585
125,fixed,,new_injury_severity1,0.479268944,0.129820086,3.691793458,739.4280735,0.000239055,Right SPL superior parietal lobule,0.201942235,1.042119923,4121.026704,0.000591386
126,fixed,,new_injury_severity1,0.50941554,0.135832034,3.750334319,737.9133982,0.000190431,Left SPL superior parietal lobule,0.205888192,1.099464447,4257.251245,0.000476968
127,fixed,,new_injury_severity1,0.265066797,0.083517885,3.17377285,727.2818683,0.001568082,Right STG superior temporal gyrus,0.227583754,0.66368835,313.9341058,0.003536432
128,fixed,,new_injury_severity1,0.275434376,0.08390146,3.282831756,726.9679876,0.00107685,Left STG superior temporal gyrus,0.228314771,0.656447885,-443.6385916,0.002487894
129,fixed,,new_injury_severity1,0.346456177,0.130813043,2.648483424,719.348556,0.00826267,Right TMP temporal pole,0.274450852,1.031064703,2532.627359,0.016733467
130,fixed,,new_injury_severity1,0.318280115,0.133649223,2.381458785,722.3250275,0.017502312,Left TMP temporal pole,0.264724716,1.052748256,2152.245259,0.033227529
131,fixed,,new_injury_severity1,0.115384928,0.045574338,2.531796008,734.7842624,0.0115553,Right TrIFG triangular part of the inferior frontal gyrus,0.142464982,0.366532453,-4435.570267,0.022854763
