ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
27,fixed,,new_injury_severity2,-0.169025499,0.05642873,-2.995380197,804.307866,0.002825147,Right Thalamus Proper,0.168870097,0.431944281,732.4757615,0.010185733
28,fixed,,new_injury_severity2,-0.160998452,0.058870674,-2.734781901,800.7224534,0.006380137,Left Thalamus Proper,0.183712752,0.448879771,878.6257447,0.02141808
31,fixed,,new_injury_severity2,-0.009281508,0.003131713,-2.963715781,787.0791804,0.003131162,Optic Chiasm,0.042273212,0.023723382,-20286.96918,0.011163877
41,fixed,,new_injury_severity2,-0.023098475,0.008824181,-2.617633715,768.6176834,0.009028341,Right AOrG anterior orbital gyrus,0.172712264,0.065360847,-13857.34494,0.029067816
42,fixed,,new_injury_severity2,-0.01802402,0.007409738,-2.432477537,769.7493724,0.015222808,Left AOrG anterior orbital gyrus,0.196426837,0.054939615,-15018.86476,0.046714266
43,fixed,,new_injury_severity2,-0.161157597,0.052029802,-3.097409391,774.4804671,0.002022656,Right AnG angular gyrus,0.170575915,0.38525231,-1065.45375,0.007599139
45,fixed,,new_injury_severity2,-0.082160091,0.031365379,-2.619451539,766.7780178,0.008981215,Right Calc calcarine cortex,0.167517624,0.235672735,-5196.670906,0.028999587
46,fixed,,new_injury_severity2,-0.161652566,0.035116601,-4.603309041,760.4084504,4.87E-06,Left Calc calcarine cortex,0.204398497,0.261621358,-4775.972651,2.36E-05
50,fixed,,new_injury_severity2,-0.097638656,0.03231366,-3.021590769,750.5272826,0.002599953,Left Cun cuneus,0.165463271,0.238925063,-6222.562837,0.009523289
61,fixed,,new_injury_severity2,-0.090031697,0.035531246,-2.533873873,761.6610972,0.011480293,Right IOG inferior occipital gyrus,0.153580002,0.262776995,-4527.34886,0.036339196
62,fixed,,new_injury_severity2,-0.13115361,0.0384264,-3.41311213,757.6938423,0.000676374,Left IOG inferior occipital gyrus,0.147958075,0.282130622,-4280.602096,0.002712242
66,fixed,,new_injury_severity2,-0.176160535,0.051889273,-3.394931672,748.1036667,0.000722659,Left LiG lingual gyrus,0.213210754,0.379644319,-3059.705945,0.002880104
67,fixed,,new_injury_severity2,-0.027233752,0.009490979,-2.869435474,774.376487,0.00422402,Right LOrG lateral orbital gyrus,0.161360935,0.070014008,-12941.17609,0.014733675
70,fixed,,new_injury_severity2,-0.039944716,0.013788653,-2.896926681,747.4060375,0.003878496,Left MCgG middle cingulate gyrus,0.151241414,0.101442346,-12546.45982,0.013676801
73,fixed,,new_injury_severity2,-0.301794002,0.092266255,-3.270903356,765.0148744,0.001120071,Right MFG middle frontal gyrus,0.221827992,0.685377231,2325.237634,0.004378017
76,fixed,,new_injury_severity2,-0.09193133,0.032885279,-2.795516183,759.8683842,0.005312435,Left MOG middle occipital gyrus,0.10467445,0.243392492,-5208.64925,0.01817531
79,fixed,,new_injury_severity2,-0.028843352,0.008814905,-3.272111611,762.1605878,0.001115543,Right MPoG postcentral gyrus medial segment,0.094700139,0.06594584,-14399.21695,0.004375104
81,fixed,,new_injury_severity2,-0.059002366,0.019243495,-3.066094019,766.9547198,0.002244871,Right MPrG precentral gyrus medial segment,0.122299704,0.144650049,-8633.008451,0.008375296
82,fixed,,new_injury_severity2,-0.073675182,0.019596702,-3.759570497,763.7351345,0.000183198,Left MPrG precentral gyrus medial segment,0.11942175,0.14547178,-8612.871612,0.000785554
86,fixed,,new_injury_severity2,-0.156655495,0.059069821,-2.652039455,760.0790685,0.008167512,Left MTG middle temporal gyrus,0.180493046,0.434705785,-747.7956182,0.026639673
87,fixed,,new_injury_severity2,-0.106334429,0.030829809,-3.449078386,773.6568295,0.000592947,Right OCP occipital pole,0.101791975,0.229033967,-4823.35376,0.002389621
88,fixed,,new_injury_severity2,-0.142336348,0.034871527,-4.081735396,768.7675805,4.94E-05,Left OCP occipital pole,0.118294693,0.259585285,-4228.597391,0.000224922
89,fixed,,new_injury_severity2,-0.112715798,0.033652626,-3.349390824,750.1947536,0.000850363,Right OFuG occipital fusiform gyrus,0.162744879,0.24521147,-5905.616984,0.003367939
90,fixed,,new_injury_severity2,-0.127708722,0.034723081,-3.677920271,753.838483,0.000251854,Left OFuG occipital fusiform gyrus,0.179608014,0.257330715,-5360.090997,0.00106493
