ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
14,fixed,,new_injury_severity1,1.0252943803073424,0.3589679257056276,2.8562283894637908,710.189384631792,0.0044122949094253,Right Cerebral White Matter,0.4073811170351978,2.8731936499704944,10419.277205148432,0.0092074140712814
20,fixed,,new_injury_severity1,0.0025943702854812,0.0011347968829324,2.2861979306614595,745.0254584455321,0.0225225314679894,Left Inf Lat Vent,0.2375752168738498,0.0091423998543119,-28094.774273107792,0.041710038533019
37,fixed,,new_injury_severity1,0.1449871236282852,0.0558401594389767,2.5964668633643484,694.4559286903691,0.009618055681978,Right ACgG anterior cingulate gyrus,0.1921941790508224,0.4435946329340317,-5065.10235732319,0.0188739251667267
43,fixed,,new_injury_severity1,0.367922546237689,0.110903025414784,3.317515864527919,726.667364443831,0.0009534273367807596,Right AnG angular gyrus,0.3661170036354073,0.8798552114468522,2932.8551584628194,0.0021267891602862
44,fixed,,new_injury_severity1,0.2361500613395234,0.1046024093236842,2.257596769198452,720.3588998004763,0.0242694159865654,Left AnG angular gyrus,0.3384814997991516,0.8264948884921043,1725.436708307781,0.0444189506251675
56,fixed,,new_injury_severity1,0.1134149996364025,0.0365749895447991,3.100889461567315,750.8401755449531,0.0020015511313137,Left FRP frontal pole,0.4217358301739617,0.2953859896181782,-3965.47995474745,0.0043060893604869
63,fixed,,new_injury_severity1,0.3042460484255593,0.1374395101538583,2.2136723863826884,700.4115454418022,0.0271727691402367,Right ITG inferior temporal gyrus,0.4722442993866381,1.0780379944377971,3328.407283704167,0.0492999177051103
73,fixed,,new_injury_severity1,0.6747878820413064,0.1781448930255313,3.787859817820302,730.9080294661863,0.00016444291786842262,Right MFG middle frontal gyrus,0.4571139809019603,1.4321551389103653,6398.712584808282,0.0003851372208753568
74,fixed,,new_injury_severity1,0.5654549635443815,0.1783222021716895,3.170973421469743,737.9803172722833,0.001582126530514,Left MFG middle frontal gyrus,0.4662922665284005,1.428582816417525,6823.995459956065,0.0034512434549352
75,fixed,,new_injury_severity1,0.1683374883098535,0.0612777545868491,2.7471223357453187,724.5567254013935,0.0061614235073343,Right MOG middle occipital gyrus,0.3357969824665212,0.4814828877842266,-2145.178032913895,0.0124825383366731
85,fixed,,new_injury_severity1,0.4724667472386816,0.1614048230815193,2.927215793297931,695.765740864823,0.0035317146421194,Right MTG middle temporal gyrus,0.4254634754952918,1.2704076450644428,4394.869135787091,0.0074443782793439
97,fixed,,new_injury_severity1,0.3195933935595181,0.1134707621716567,2.8165263671715035,704.3851593297524,0.0049904637252563,Right PCu precuneus,0.4628143046443426,0.8974258550399804,2414.6983684907887,0.0103220616853151
111,fixed,,new_injury_severity1,0.3405770624617102,0.1216462790762683,2.799732676148519,763.1791544914043,0.0052436864919923,Right PrG precentral gyrus,0.4485017763219461,0.9745091113576776,4614.965827915467,0.0107863551085281
112,fixed,,new_injury_severity1,0.3795070801174246,0.1250248626031762,3.035452886854709,760.9471383045596,0.0024836130299622,Left PrG precentral gyrus,0.4461556882978077,1.0073817090227473,4839.068472346039,0.0053187877217
117,fixed,,new_injury_severity1,0.3252106073848771,0.1359795416689406,2.391614233975309,750.320703727001,0.0170197721196131,Right SFG superior frontal gyrus,0.4709744337372987,1.0822554576311831,5058.604309962781,0.0322190640730517
118,fixed,,new_injury_severity1,0.5933540130860535,0.1391673239438692,4.263601514141154,745.3239240322421,2.270067475922914e-05,Left SFG superior frontal gyrus,0.4656812490702438,1.1129251365451889,5482.312062764399,5.700999444218724e-05
119,fixed,,new_injury_severity1,0.1706721563922511,0.0602904654988165,2.8308316245393965,733.5858975807065,0.0047697646622285,Right SMC supplementary motor cortex,0.3969411715187729,0.4781070739975845,-1595.959325464659,0.0099092785230795
121,fixed,,new_injury_severity1,0.2246530319495245,0.0896799149017648,2.505054026819818,735.2886572465244,0.0124584873176268,Right SMG supramarginal gyrus,0.3057850696259508,0.707801676535012,1347.241169780826,0.0240701567537261
125,fixed,,new_injury_severity1,0.2812522552967885,0.1166992206253086,2.410061127998596,755.5900396891244,0.0161878108470431,Right SPL superior parietal lobule,0.3590664012736864,0.9341149613705736,3828.978914738991,0.030706100251823
128,fixed,,new_injury_severity1,0.1728569989561157,0.0769378360702052,2.246709912641488,707.8014959135531,0.0249660156781392,Left STG superior temporal gyrus,0.3653739105939855,0.599205095332952,-669.585782133656,0.0455605500118572
