ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
2,fixed,,new_injury_severity1:months_since_bl_exam,0.00016719068434607883,7.421952021044616e-05,2.2526511067710637,2811.631250117573,0.0243579656653552,4th Ventricle,0.0273348396229144,0.0601820163150171,-15280.884062993127,0.0445375668501037
5,fixed,,new_injury_severity1:months_since_bl_exam,0.0004422804866747955,0.00013557357729430066,3.2622911890471182,2769.9554884675504,0.0011185686909444,Right Amygdala,0.3960816760015663,0.1191795723638513,-10927.357156760763,0.0024804194612431
6,fixed,,new_injury_severity1:months_since_bl_exam,0.0003489657921082675,0.00012833173548851967,2.7192478211243807,2764.9024989902737,0.0065839445463158,Left Amygdala,0.3884561376648899,0.116362592444715,-11260.305920211293,0.0133097844492333
8,fixed,,new_injury_severity1:months_since_bl_exam,0.001032909255042,0.00037068904899791526,2.786457430653224,2776.7934532858885,0.0053649693335176,Right Caudate,0.2121145465894456,0.4251005933751178,-3492.175271082994,0.0109996529723268
9,fixed,,new_injury_severity1:months_since_bl_exam,0.000989015234118347,0.0003562791642102939,2.775955861215001,2790.653507134788,0.0055406760572601,Left Caudate,0.2234586856348747,0.3677093444014938,-3922.022859923274,0.0113227759078648
15,fixed,,new_injury_severity1:months_since_bl_exam,0.0056511373390018,0.0024681477706997,2.289626823032481,2754.7470799274724,0.022118253452879,Left Cerebral White Matter,0.3815898864017845,2.766610232099408,9783.927748571914,0.041042377327004
16,fixed,,new_injury_severity1:months_since_bl_exam,-0.0002817548060686219,0.00010421318622800415,-2.7036387262182067,2805.0934327107816,0.0068998601955566,CSF,0.1607296147586366,0.0949607172817061,-12752.55933121356,0.0138588198360431
17,fixed,,new_injury_severity1:months_since_bl_exam,0.0014704777474997,0.0002822375038686393,5.210072110700553,2762.0627380691385,2.0267310818065437e-07,Right Hippocampus,0.3670726760853573,0.4038770192858132,-5060.229806374508,5.913137650807271e-07
18,fixed,,new_injury_severity1:months_since_bl_exam,0.0011432561210689,0.00027152360738548216,4.210521995039269,2756.5417763828004,2.6294170015685367e-05,Left Hippocampus,0.372890223967521,0.3693275875189761,-5393.49035858164,6.594634084147827e-05
20,fixed,,new_injury_severity1:months_since_bl_exam,2.9267011344906632e-05,1.2159599102818131e-05,2.406905942986529,2795.2023126359136,0.0161527778765397,Left Inf Lat Vent,0.2375752168738498,0.0091423998543119,-28094.774273107792,0.0306706592068709
