ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
3,fixed,,new_injury_severity1:months_since_bl_exam,-1.377652903600966e-05,4.610109568341409e-06,-2.988330067167163,2864.3583436708227,0.0028288907751651,Right Accumbens Area,0.1317911365820246,0.0022266150389175,-35600.12400240087,0.0061211062216952
6,fixed,,new_injury_severity1:months_since_bl_exam,-0.00012591092878439837,3.4734584029812965e-05,-3.624944196145491,2785.564234762021,0.0002941987128512,Left Amygdala,0.3071460860166055,0.0292971513906329,-20574.93067321914,0.0007300486578161333
8,fixed,,new_injury_severity1:months_since_bl_exam,-0.0010712845662533,0.00025239189587897667,-4.244528385202315,2764.036375570253,2.262709529469461e-05,Right Caudate,0.3061525372310105,0.3160583566628852,-6063.049598339317,6.383222672608583e-05
9,fixed,,new_injury_severity1:months_since_bl_exam,-0.0011035994089417,0.0003874853159890991,-2.848106401463657,2801.5579557831,0.0044300828328439,Left Caudate,0.3370124097139284,0.2873232164870818,-3853.541119395815,0.0091934019849726
14,fixed,,new_injury_severity1:months_since_bl_exam,-0.0073167900995665,0.0020318984828317,-3.600962430647354,2755.9538169201505,0.0003226374322935764,Right Cerebral White Matter,0.3087380344582004,3.0864732447685013,8871.492380180443,0.0007943147283238181
15,fixed,,new_injury_severity1:months_since_bl_exam,-0.0049532766450456,0.0018316448180187,-2.7042779234915013,2746.8552315963016,0.0068875129984183,Left Cerebral White Matter,0.2959595099883926,3.0892196194413746,8285.657379355398,0.0138935208441214
17,fixed,,new_injury_severity1:months_since_bl_exam,-0.0008982866074017963,0.0002271341060927784,-3.954873281051281,2772.327765064844,7.849273645483644e-05,Right Hippocampus,0.3216639302216997,0.2725321808103604,-6827.144227795642,0.00020798357851592247
19,fixed,,new_injury_severity1:months_since_bl_exam,-0.00023482174001763085,0.00010371986912011644,-2.2639995789590444,2785.483893843352,0.0236507326969115,Right Inf Lat Vent,0.2024178613351433,0.1125677225896512,-12446.327972625311,0.0432866093067376
21,fixed,,new_injury_severity1:months_since_bl_exam,-0.0135903904801666,0.0035356834907992,-3.843780280540441,2754.6097550941186,0.00012389266728341693,Right Lateral Ventricle,0.2866244139467908,7.231151372312732,13194.060549266209,0.00032191501914638525
22,fixed,,new_injury_severity1:months_since_bl_exam,-0.0151104237642909,0.0039493566713897,-3.826046878408075,2755.540203133553,0.0001331093063175668,Left Lateral Ventricle,0.2993205758619149,8.259823319903377,13989.730433501709,0.0003434842622445052
26,fixed,,new_injury_severity1:months_since_bl_exam,5.198836990424846e-05,1.7800481482498252e-05,2.920615937010712,2795.3382866379147,0.0035213681366423,Left Putamen,0.0470796089279577,0.0227011801406144,-24581.266107955304,0.0074560797114458
27,fixed,,new_injury_severity1:months_since_bl_exam,-0.0005044386255113753,0.00017296006510920863,-2.9165034436872346,2753.545132051387,0.0035684094089098,Right Thalamus Proper,0.3960870443458082,0.2291987082833213,-8619.730225587553,0.0075386667242285
28,fixed,,new_injury_severity1:months_since_bl_exam,-0.0005503447965721546,0.000186112707942726,-2.9570511474236185,2749.8395877129183,0.0031324123723607,Left Thalamus Proper,0.3980989334440118,0.2152612547731398,-8309.424141167061,0.0066853306149587
29,fixed,,new_injury_severity1:months_since_bl_exam,-0.0009581902858637728,0.0002893635378338946,-3.311371892383378,2774.861499301968,0.0009402870458535244,Right Ventral DC,0.5318335464565073,0.2675609498655818,-5549.353555099081,0.0021750659655008
30,fixed,,new_injury_severity1:months_since_bl_exam,-0.0005840417381767866,0.0002446024695317813,-2.38771807698737,2762.293676009547,0.0170201812072189,Left Ventral DC,0.5342046470596611,0.2468940935869131,-6590.799652593241,0.032090311502254
37,fixed,,new_injury_severity1:months_since_bl_exam,-0.0008500210085772231,0.00027471411543338736,-3.0942021571634024,2772.4532484822525,0.0019931093175292,Right ACgG anterior cingulate gyrus,0.4294601328732504,0.3551731352316044,-5415.917201113389,0.0044197081320152
38,fixed,,new_injury_severity1:months_since_bl_exam,-0.0006875650698366834,0.000265734510507654,-2.5874135373804954,2773.3833378771924,0.0097203722973806,Left ACgG anterior cingulate gyrus,0.4256471494481966,0.3388616903318848,-5652.105657927081,0.0189754614254797
41,fixed,,new_injury_severity1:months_since_bl_exam,-0.00021398704442158952,8.573410443052005e-05,-2.495938411475531,2798.4127044885136,0.0126195802266675,Right AOrG anterior orbital gyrus,0.4774166836102937,0.0648919291266306,-14377.790621327784,0.0242316607013596
43,fixed,,new_injury_severity1,-0.3113706991102254,0.0792763833574007,-3.927660242855386,710.4866119219408,9.414144127109114e-05,Right AnG angular gyrus,0.3478155909979979,0.6211163625553099,-290.3238148097496,0.0002470060752791146
56,fixed,,new_injury_severity1:months_since_bl_exam,-0.0006101370182257875,0.0002447876663504094,-2.492515359627583,2755.6370210131577,0.0127424901499564,Left FRP frontal pole,0.7331112111948662,0.225187694553719,-6713.315333623038,0.0244426498172988
57,fixed,,new_injury_severity1:months_since_bl_exam,-0.0007713635805520436,0.0002524889573943164,-3.055038875808702,2776.428660473804,0.0022716968987147,Right FuG fusiform gyrus,0.3509319342015106,0.265679268735541,-6288.328803176296,0.0049786254462486
58,fixed,,new_injury_severity1:months_since_bl_exam,-0.0005991570115802376,0.00023045217047844863,-2.599919151710786,2767.446187672981,0.0093741466631436,Left FuG fusiform gyrus,0.3548698490092558,0.2357856947425998,-6977.38132425271,0.0183377467570985
59,fixed,,new_injury_severity1:months_since_bl_exam,-0.00032584675299954474,0.00014006439235211962,-2.326406787103829,2794.094446853267,0.0200680360835876,Right GRe gyrus rectus,0.5002953064312222,0.0993049491420718,-11020.90640249474,0.0374230971101495
