ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
3,fixed,,new_injury_severity2:months_since_bl_exam,1.9761374575514333e-05,7.063775756711651e-06,2.7975653894077896,2881.919692083165,0.005183130178619,Right Accumbens Area,0.1317911365820246,0.0022266150389175,-35600.12400240087,0.0106036556325947
5,fixed,,new_injury_severity2:months_since_bl_exam,0.00016603433586633267,7.017633345067033e-05,2.3659591161605023,2794.9491743974186,0.0180512945627302,Right Amygdala,0.3232307844505095,0.0363497283943453,-18691.964060707058,0.0338303982014803
17,fixed,,new_injury_severity2:months_since_bl_exam,0.000916449486870534,0.0003485489871270873,2.6293276432227293,2774.799359100451,0.0086026109992065,Right Hippocampus,0.3216639302216997,0.2725321808103604,-6827.144227795642,0.0170597232922955
18,fixed,,new_injury_severity2:months_since_bl_exam,0.0013440875943804,0.0003487613107495928,3.853889617204446,2766.8444463347623,0.0001188990497460088,Left Hippocampus,0.342349501232608,0.2502577044569947,-6976.744402943701,0.0003093684012808773
19,fixed,,new_injury_severity2:months_since_bl_exam,0.0005201910854365359,0.00015915709919664273,3.268412707081488,2788.452788008916,0.0010946553297336,Right Inf Lat Vent,0.2024178613351433,0.1125677225896512,-12446.327972625311,0.0025104809273598
20,fixed,,new_injury_severity2:months_since_bl_exam,0.0006645165062762362,0.00010337946030217469,6.427935533169518,2795.339936823681,1.5155789448538628e-10,Left Inf Lat Vent,0.2553770122309236,0.0593732962293491,-15836.233189463775,5.850259466143717e-10
27,fixed,,new_injury_severity2:months_since_bl_exam,0.0007087315042000808,0.0002654248135016548,2.67017802461661,2755.604008127083,0.0076256304481658,Right Thalamus Proper,0.3960870443458082,0.2291987082833213,-8619.730225587553,0.0152838490606401
44,fixed,,new_injury_severity2:months_since_bl_exam,-0.0024333799975974,0.0008994363973839778,-2.705449773519225,2767.598595312329,0.0068630090636972,Left AnG angular gyrus,0.3050732085376208,0.616051653527625,-377.6061652960768,0.0138589935452055
73,fixed,,new_injury_severity2:months_since_bl_exam,-0.0033782564490138,0.0012704289239188,-2.6591463602647933,2747.6361216370133,0.0078793576685273,Right MFG middle frontal gyrus,0.5922996181988497,0.8976603456034439,2078.709981665422,0.0157419328926062
74,fixed,,new_injury_severity2:months_since_bl_exam,-0.0032679280443336,0.0014224695959532,-2.2973623152512763,2752.288783627617,0.0216728197279276,Left MFG middle frontal gyrus,0.5961216611305947,0.9102042328120395,2722.231542701358,0.0400968538556136
