ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
1,fixed,,new_injury_severity1:months_since_bl_exam,0.0001170502007778344,2.9189150256761367e-05,4.010058523396752,8244.071756951587,6.12393725788502e-05,3rd Ventricle,0.0962389142941341,0.0316279916997264,-54544.90516067444,0.0001369309451226734
2,fixed,,new_injury_severity1:months_since_bl_exam,0.0002824263265548113,5.596618248472054e-05,5.046374685854573,8227.762117067163,4.5991347231318e-07,4th Ventricle,0.0465073455867771,0.0583778310590663,-42755.71391128538,1.1754736703808252e-06
4,fixed,,new_injury_severity1:months_since_bl_exam,0.00016346258473806216,3.9296294960717897e-05,4.159745464590636,8166.252691856485,3.218658557517695e-05,Left Accumbens Area,0.3533515898047996,0.0455836732318527,-48983.12047593402,7.363662748662433e-05
5,fixed,,new_injury_severity1:months_since_bl_exam,0.00026920407058864023,0.00010468432399211768,2.5715795863467603,8194.355917243769,0.0101410436779134,Right Amygdala,0.3806378370521089,0.12357891211662,-31493.99143687972,0.0189488027288502
6,fixed,,new_injury_severity1:months_since_bl_exam,0.0003925563947781317,9.392212926147438e-05,4.179594285871382,8184.215230307149,2.9506897810305326e-05,Left Amygdala,0.3825349743878208,0.1201997175493836,-33293.18822806484,6.775390488633145e-05
7,fixed,,new_injury_severity1:months_since_bl_exam,0.0048845592346912,0.0009285856107802664,5.260214220406556,8339.678383761566,1.4746139903359914e-07,Brain Stem,0.1262546033287457,0.5145588913006608,6351.731539525461,3.871898754340753e-07
8,fixed,,new_injury_severity1:months_since_bl_exam,0.0011612680643721,0.00027741429978025127,4.186042555455996,8177.751483528789,2.868342772920533e-05,Right Caudate,0.1324523493970347,0.4749735549103678,-13664.55295568519,6.59437627695946e-05
9,fixed,,new_injury_severity1:months_since_bl_exam,0.0015025562625839,0.0002672836532614434,5.621579338090871,8189.486919063914,1.95433154801544e-08,Left Caudate,0.2197180801156772,0.4053027644285031,-14504.153415989253,5.3367190452357567e-08
11,fixed,,new_injury_severity1:months_since_bl_exam,-0.0072085189791712,0.0032314557908739,-2.230734209494395,8160.57124171602,0.0257258128082491,Left Cerebellum Exterior,0.3162702176600626,4.343798566091974,29738.20708591521,0.0451043222694162
12,fixed,,new_injury_severity1:months_since_bl_exam,0.0021982598134544,0.00031353198391719986,7.011277720345782,8286.817405708085,2.546830598909114e-12,Right Cerebellum White Matter,0.3473750719522686,0.195995656659776,-12821.503109929194,8.125602386995745e-12
