ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
4,fixed,,new_injury_severity2:months_since_bl_exam,0.00022929403403640337,7.123215047156675e-05,3.218968296175883,8193.324115567466,0.001291539501075,Left Accumbens Area,0.3533515898047996,0.0455836732318527,-48983.12047593402,0.0026509060219001
6,fixed,,new_injury_severity2:months_since_bl_exam,0.0006486649556897853,0.00017028103432551494,3.809378761757905,8204.576027320702,0.00014033336841668895,Left Amygdala,0.3825349743878208,0.1201997175493836,-33293.18822806484,0.00030576701411115964
8,fixed,,new_injury_severity2:months_since_bl_exam,0.0017373533645527,0.0005030684453316149,3.4535128980462324,8190.039451517755,0.0005561359330025186,Right Caudate,0.1324523493970347,0.4749735549103678,-13664.55295568519,0.0011788824975285
9,fixed,,new_injury_severity2:months_since_bl_exam,0.0028726506275027,0.0004846463777401194,5.92731269528471,8205.288348185095,3.2037498515877403e-09,Left Caudate,0.2197180801156772,0.4053027644285031,-14504.153415989253,9.078904413260723e-09
11,fixed,,new_injury_severity2:months_since_bl_exam,0.0128207516305997,0.0058587153563988,2.188321304361887,8181.046260747194,0.0286743871785946,Left Cerebellum Exterior,0.3162702176600626,4.343798566091974,29738.20708591521,0.0496704989354048
22,fixed,,new_injury_severity2:months_since_bl_exam,0.0004385300649230936,0.0001897259284237832,2.3113871075310626,8218.04735827335,0.0208360981773283,Left Lateral Ventricle,0.1316723975715696,0.1473204549118815,-31137.92907914449,0.0371563880044372
35,fixed,,new_injury_severity2:months_since_bl_exam,0.0002302005089949425,9.647069235691892e-05,2.386222212889845,8230.754714907685,0.0170449260977122,Left Basal Forebrain,0.2246891833640276,0.046586471892067,-43935.11872564987,0.0306874101336929
41,fixed,,new_injury_severity2:months_since_bl_exam,0.0005625891858784779,0.00022964367944635852,2.449835271908237,8158.250780509944,0.014313026624506,Right AOrG anterior orbital gyrus,0.2731748739568009,0.1756410264041909,-27870.283407774863,0.0260438777377044
52,fixed,,new_injury_severity2:months_since_bl_exam,0.0017950713233555,0.0004693622159363228,3.8244904732576295,8220.332592621682,0.00013201193616989388,Left Ent entorhinal area,0.3556515822960413,0.3089986434233769,-15300.734837840526,0.00028797022355200104
62,fixed,,new_injury_severity2:months_since_bl_exam,0.0022048894089518,0.0006608788185911637,3.3362991019323536,8182.213504058799,0.0008527995615915517,Left IOG inferior occipital gyrus,0.3429605338964719,0.5893133338442545,-8803.344458618052,0.0017795906313078
66,fixed,,new_injury_severity2:months_since_bl_exam,-0.0020055661494564,0.0009101196959510842,-2.2036289933936364,8219.827772179908,0.0275780745426047,Left LiG lingual gyrus,0.485982665521146,0.5896874083781326,-3465.1765592060992,0.0480375745978891
76,fixed,,new_injury_severity2:months_since_bl_exam,0.0019980198805695,0.0006246902354941702,3.198417018618815,8186.159166099023,0.0013871055343251,Left MOG middle occipital gyrus,0.2944705267448851,0.5863361607906212,-9721.334915985391,0.0028315669014079
95,fixed,,new_injury_severity2:months_since_bl_exam,0.0009097450755085904,0.0003926273153315175,2.317070259720573,8184.057838697071,0.0205244612762477,Right PCgG posterior cingulate gyrus,0.4763677546251954,0.3129902431226421,-18258.43595750964,0.0366354798803432
108,fixed,,new_injury_severity2:months_since_bl_exam,-0.0013202337346471,0.0004172104838997416,-3.164430870256988,8228.883115280583,0.0015595252963951,Left POrG posterior orbital gyrus,0.4306270315568898,0.267264531488073,-17397.166005965144,0.0031663089351052
117,fixed,,new_injury_severity2:months_since_bl_exam,0.0045488268711996,0.0018302211119368,2.4853974427088,8223.143740184722,0.0129604090423839,Right SFG superior frontal gyrus,0.4622599398529811,1.093520128846429,8810.254226600273,0.0237423898388261
123,fixed,,new_injury_severity2,0.1094414381462334,0.049266005085359,2.2214392654044826,735.7862422250012,0.0266247960104924,Right SOG superior occipital gyrus,0.3953503255136999,0.3698708903584174,-13392.24206836338,0.0464633649448221
